year,month,q,qbase,VI,t_mean,runoff,pet,aet,gwr,runoff_2,delta_reservoir
2012,10,36.2566064921466,6.45929157582141,130.108936170211,8.9771428571428,44.7454103343464,33.7953191489361,33.7953191489361,6.16407294832833,2.58218844984803,45.3981762917932
2012,11,13.5239070157068,7.54687662196829,16.2745896656533,-1.00601823708206,0.00747720364741641,7.4945896656533,7.4945896656533,9.33118541033428,0.33483282674772,-0.691185410334344
2012,12,12.7890772774869,6.73460557906246,27.1044984802435,-5.98741641337385,7.57726443768994,2.54431610942252,2.54431610942252,10.2992097264437,4.34996960486323,4.034103343465
2013,1,15.1991623036649,7.77472876072493,32.2925835866252,-11.423161094225,4.71513677811549,2.11282674772032,2.11282674772032,9.65823708206685,6.36139817629179,9.98297872340435
2013,2,22.063664921466,9.41357803103568,14.3986626139821,-8.41592705167177,5.31987841945292,2.91592705167179,2.91592705167179,9.73465045592708,2.13702127659573,-5.28218844984804
2013,3,81.5595643979058,14.7901443194816,87.1971428571452,-1.24984802431613,42.1928267477207,14.0251063829786,14.0251063829786,11.2540425531915,14.9440121580548,6.94735562310034
2013,4,188.583832460733,34.7879762880551,203.077082066872,4.40024316109427,101.809300911854,39.4206686930087,39.4206686930087,27.8812158054712,32.0880243161094,4.93349544072958
2013,5,88.9836314136126,17.7846619064431,174.49021276596,13.3246808510639,63.4479027355624,91.8074164133744,91.8074164133744,14.2440729483282,20.4986626139818,-8.08316109422499
2013,6,42.3604272251309,14.5096404641448,111.136838905775,15.675501519757,13.9958662613982,107.564072948331,107.529787234045,12.1220060790273,10.2565957446808,-26.3017629179331
2013,7,17.2979811518325,6.14770410468853,90.5870516717322,20.2412765957449,8.25203647416413,131.556595744684,108.637811550151,1.49811550151976,0.194103343465045,-27.7978723404256
2013,8,6.96621486910995,4.91611293849086,98.4639513677821,18.2595744680847,4.02863221884502,105.508389057749,90.2591489361702,0.319209726443767,0.134589665653495,3.86620060790272
2013,9,22.5755057591623,6.5468928761572,111.148875379937,13.3651063829786,40.999392097264,63.0130699088141,60.6291185410331,1.3293009118541,4.43045592705166,7.18656534954406
2013,10,15.4613026178011,8.63275335317488,88.2046200607897,8.58723404255312,22.1365957446809,34.4663221884509,30.3839513677816,2.48626139817628,8.28705167173254,28.3317933130698
